title,description,amount_usd,goal_usd,duration_days,cover_image,url,image_labels,binary
"Kenneth W. Keister, horseman, friend, and husband","Ken’s love for animals extended to homeless dogs having adopted Molly and Morgan in Birmingham, Alabama, and assisted in the rejoining of many dogs in Leavenworth. Two of his dogs remaining with his husband in Georgia are Winifred and Druid. They are both genuine Georgia ditch dogs. Funds will be transferred at the end of this thirty day period of celebrating Ken’s life and impact on others. Funds will be sent to animal shelters in Leavenworth, Kansas; Birmingham, Alabama; and Washington, Georgia.",620.0,2600.0,21.0,https://images.gofundme.com/iJ-NfzXwYMIEpHiCSKB9ImflLdw=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94568609_1757644691838137_r.png,https://www.gofundme.com/f/kenneth-w?qid=05451dc5b43081aeb17b15534d4b4c3f,"Hat, Smile, Headgear, Sun hat, Coat, Formal wear, Fedora, Costume Hat, Happiness, Vintage clothing",0
Help Jewel Beat Cancer!,"One of my long time “extra moms”, mentors, all of the above, has reached out about her baby girl, Jewel. Karrie is not one to ask for help, but sweet Jewel has been diagnosed with Lymphoma. Karrie and her husband are HUGE animal lovers who have been rescuing for years. They adopted Jewel from Saint Francis Animal Shelter in South Carolina after losing one of their other rescues, Sadie.

Poor Jewel went into the vet thinking she had an infection with a bug bite, leaving with a much more devastating diagnosis. They believe she has a high chance of beating the cancer with five treatments, going every few weeks. These treatments are going to cost around $1300 each. They have done extensive research with multiple vets on the best treatment for her and this is it.

I know times are tough for a lot of people, but if you can spare any amount to go towards helping Jewel beat cancer- we would be furever grateful!",1175.0,2400.0,58.0,https://images.gofundme.com/-nBagONkx0YeT3bPbiJ-R8_bmHg=/1200x900/https://d2g8igdw686xgo.cloudfront.net/92921097_1753921474699336_r.png,https://www.gofundme.com/f/4aq8ep-help-jewel-beat-cancer?qid=af3e49b735550fdff740359f62fb040c,"Dog, Vertebrate, Linens, Carnivores, Working animal, Bed sheet, Snout, Bedding, Bedroom, Canidae",0
Sheridan Road Fire Pet Rehab Fund,"When a fire broke out in an apartment in the 600 block of Sheridan Road, the Evanston Fire Department was able to resuscitate the resident animals by administering oxygen on the scene.  Their quick action saved their lives, but it was obvious they still needed professional emergency medical care. Volunteers from the Evanston Animal Shelter and Dr. Gail Henry from Evanston Animal Hospital, who were onsite, rushed them to Blue Pearl, an emergency pet hospital, where they spent the night receiving supportive care. As you can imagine, the cost of emergency care is not cheap and the owner is struggling just to find a new place to live with her beloved pets in the aftermath of the fire. The cover photo (credit: Evanston Fire Department) is little Tinkerbell just minutes after being pulled from her smoke filled home. Two dogs, Tinkerbell and Opie have been taken into the Evanston Animal Shelter's custodial program. The shelter will cover the cost of their emergency treatment and any ongoing treatment they might require as they recover. The shelter will also care for Tinkerbell and Opie at no cost to the owner until she gets back on her feet. The expense of their emergency care has already put a strain on the shelter's budget. We are hoping the community will help us with these substantial costs.  We appreciate anything you can give.



More information about Evanston Animal Shelter Association: The Evanston Animal Shelter is committed to providing compassionate and humane care to Evanston's abused, abandoned and relinquished animals and to find them homes through rehabilitation, foster care, adoption and rescue organizations. We aim to further serve the community as a proactive resource for education, counseling and support.",4400.0,5000.0,2234.0,https://images.gofundme.com/ZM8PhEEz-9I0s-KRrSKFGRFknnw=/1200x900/https://d2g8igdw686xgo.cloudfront.net/41493240_1566438588856288_r.jpeg,https://www.gofundme.com/f/firerehabfund?qid=ddf8620626e07595da539a804bd34b9a,"Dog, Carnivores, Snout, Canidae, Working animal, Pet Supply, Collar, Dog Supply, Dog collar, Leash",1
GCFA: Fundraiser for High Shelter Census and HVAC Repair,"CALLING ALL ANIMAL LOVERS & SHELTER SUPPORTERS:
Please consider donating any amount you can to help the GCFA with our rising animal census and building costs for our recent A/C failures.
Our current census: 72 ferrets. We've had 2 A/C failures and need to raise money to permanently resolve our HVAC problem. On top of that, we've had to take multiple surrenders to the vet and the ER. It's been a busy month for the GCFA and we need some help from our Chicagoland community. Our hope is that your donations can help us fix our building situation and make sure all these animals have A/C. Any remaining funds left over from the HVAC repair will go straight to the ferrets for food, vet care, and anything else they may need.",1495.0,5000.0,78.0,https://images.gofundme.com/bSnOcdg33RMZfoYWltMzdipeZv4=/1200x900/https://d2g8igdw686xgo.cloudfront.net/92586345_1755126514852888_r.png,https://www.gofundme.com/f/help-gcfa-ferrets-beat-the-chicago-heat?qid=a3d3014d3624c7c20bb3187cd0a7e5a2,"Snout, Advertising, Photo caption, Rodent, Fur, Pest, Muroids, Hamster, Whiskers, Murids",1
Please help us fix our animal shelters after the storm,,14623.75,6250.0,1731.0,https://images.gofundme.com/uaPU69N8Nkdq-Mf9PBd4Tqj2Ay4=/1200x900/https://d2g8igdw686xgo.cloudfront.net/53728564_1733736987284869_r.jpeg,https://www.gofundme.com/f/Pleasehelpouranimalsafterthestorm?qid=aba8518be6e50e5e90adc75a115b7193,"Wood, Fence, Lawn, Home Fencing, Croft, Backyard, Yard, Ranch",1
Reducing noise in animal shelter,"There are currently more than 500 dogs awaiting adoption at Pima Animal Care Center in Tucson, AZ. Can you imagine the sound of 500 dogs barking in an enclosed space? You don't have to imagine it; walk the many rows of kennels with me, and you will quickly understand why the shelter environment can be a stressful and scary place for dogs and humans alike. Sounds within the kennel area have registered higher than 110 decibels, a level in which prolonged exposure is known to risk permanent hearing loss.

My name is Ursula Schwarz. I am an avid cyclist and dog advocate - two passions I aim to bring together to create change. Studies show that noise can have a negative effect on a dog's health and behavior. There is much outside of our control when it comes to reducing stress in the shelter environment; noise reduction is something we can do.",6560.0,5000.0,1120.0,https://images.gofundme.com/Q7YQSVG7z456bsTn8akd4HsgQ8s=/1200x900/https://d2g8igdw686xgo.cloudfront.net/67983567_1662688169148880_r.jpeg,https://www.gofundme.com/f/reducing-noise-in-animal-shelter?qid=c8c809e595ee1756937b94b8bd654c62,"Dog, Carnivores, Advertising, Pet Supply, Poster, Snout, Canidae, Working animal, Collar, Dog Supply",1
Support Eagle County Animal Shelter in Stella's Honor,Hi my name is Dan Purtell co- owner of Rocky Montain Taco and I am raising funds to buy supplies for the dogs and cats at the Eagle County Animal Shelter in Eagle in honor of my beloved dog Stella. I got her from this shelter almost 16 years ago and recently had to say goodbye to her. I’d love to give back to the organization that gave me so many unforgettable memories with the best dog ever with your help. We will be having a STELLA-BRATION on June 23rd at Rocky Mountain Taco in Minturn in which we ask that you bring new or gently used dog supplies. This GoFundMe is for the folks that can’t make it or just want to help financially too. Thank you to all that feel called to help. Much love.,1622.0,5000.0,500.0,https://images.gofundme.com/XzatTEq2tmpvi1JCo0zxoBaef6U=/1200x900/https://d2g8igdw686xgo.cloudfront.net/80248279_171632247222113_r.jpeg,https://www.gofundme.com/f/support-eagle-county-shelter-in-stellas-honor?qid=54a80c3c35ee527d2dd231684a3b567b,"Dog, Ball, Tennis ball, Carnivores, Tennis--Equipment and supplies, Sports equipment, Snout, Dog toy, Toy, Pet Supply",1
"Keep our no kill, all volunteer animal shelter running","We are all volunteer rural, no kill, state licensed animal shelter, serving Fairbault County MN. area. We primarily operate due to donations and occasional grants from our community.

Our mission :
To provide shelter and care for animals that have been lost, abused, or surrendered in years Fairbault County area:
Assist in educating the community in training and good care of animals;
To be a knowledgeable referral source in our community for good practices, quality care and information pertaining to pet ownership.

Our Vision:
To be the regional leader in animal adoption; spay and neuter outreach concerning animal welfare to ultimately create a no kill Community where every cat and dog has a loving home, free of abuse and neglect.",,,51.0,https://images.gofundme.com/TYsEYx8sXARpvdczOgshbGrzGcs=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93589283_175502670385342_r.png,https://www.gofundme.com/f/keep-our-no-kill-all-volunteer-animal-shelter-running?qid=8dbb1d69a9c640018f0c886ef3ef1c83,"Siding, Logo, Sign",0
Help For Rosie,"""Rosie"" was my brother Gregg's gorgeous 11 year old Siamese cat, whom he worshipped with every waking breath! Gregg was somewhat of a loner, and passed away in his small home on 23 January 2017. His untimely departure was not even discovered until five days later.  By then, ""Rosie"" was found severely depressed, half starved, critically dehydrated, and near kidney failure! She was rushed to the Veterinarian by Authorities, and medical care and living costs have been mounting. Funds are needed immediately to offset the cost of her care, and insure that Rosie has an opportunity for adoption by a loving family! She is a sweet, kind, Chocolate Point Siamese, with a tender disposition. ""Rosie"" was Greggs world, and it would mean the world to him, if you could find it in your hearts to help with Rosie's medical & Shelter costs. All funds will go to the Teller County Regional Animal Shelter, Colorado! God Bless, and much thanks!",1928.0,3000.0,3162.0,https://images.gofundme.com/SQEW5f0b03qWspe5DMNmHoD0PEs=/1200x900/https://d2g8igdw686xgo.cloudfront.net/17770762_1486260057.2137.jpg,https://www.gofundme.com/f/roses-for-rosie?qid=c8c809e595ee1756937b94b8bd654c62,"Cat, Felidae, Felinae, Vertebrate, Carnivores, Iris, Whiskers, Snout, Siamese cat, Fur",1
Help Us Complete Our British Virgin Islands Animal Shelter,"WE ARE ALMOST THERE!!!!
Help Us Complete the Animal Shelter of the BVI Humane Society, with a Christmas Donation and help us finish their new home.",2700.0,50000.0,353.0,https://images.gofundme.com/fR8lEQHWWdRT4pk-u5yERNG6bYY=/720x405/https://i.ytimg.com/vi/iae00mE3OXw/0.jpg,https://www.gofundme.com/f/please-donate-to-help-finish-the-bvi-humane-society-build?qid=6666208d2db96145b81edbb21e4dfc65,"Advertising, Siding, Dog Supply, Canidae, Kennel, Shed",1
Support Bay Area Animal Shelters,"Hi!! Welcome to my passion project, helping rescuing Bay Area animals. My goal is to fundraiser enough money to donate to local shelters and help make a difference in the community. If you choose to donate, your assistance is deeply appreciated!! For more information, view the Instagram account: “@Helping Bay Area Animals”.",,,138.0,https://images.gofundme.com/10WpnySBn0K8B9SjR8Laz5pV_QA=/1200x900/https://d2g8igdw686xgo.cloudfront.net/91149233_174813306222899_r.png,https://www.gofundme.com/f/support-bay-area-animal-shelters?qid=c2e790a0025e3c756508668b81bf49a7,"Dog, Carnivores, Canidae, Retriever, Pet Supply, Tail, Gun dog",0
Save Rosie: Urgent Medical Help Needed,"Our four month old kitten Rosie has FIP (Feline Infectious Peritonitis). We adopted her at the end of June from our local animal shelter where she was in rough shape when they first rescued her. We were so excited to give this sweet girl a home as my mother was looking for a therapy cat of her own. A week ago Rosie started having accidents outside of the litter box and that indicated a possible bigger problem, then her abdomen became distended and we knew that she needed to be seen. Rosie’s vet visit has racked up a bill that is already a financial hardship and with the treatment she needs at the animal hospital it is going to increase significantly. The initial vet visit ended with the understanding that without this treatment from the animal hospital Rosie does not have much time. Any and all donations are so incredibly appreciated and will be used to pay for her medical bills.",175.0,900.0,31.0,https://images.gofundme.com/gL0cMc_JTXSCa4pBrXGTMYcGwLA=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94200063_1756740008891497_r.png,https://www.gofundme.com/f/as8bvw-save-rosie-urgent-medical-help-needed?qid=db1df4815572813bdc727e97ce0d912e,"Cat, Felidae, Carnivores, Felinae, Whiskers, Fur, Pet Supply, Snout, Cat Supply, Domestic short-haired cat",0
Emily and Her Young Son Need Urgent Support,"This is Emily and her young son.

Emily is a devoted single mother who has always worked hard to provide for her family. But for the first time in her life, she is facing an impossible situation. After 8 months of tirelessly searching for work with countless applications, interviews, and no offers. She has exhausted every resource. Her unemployment benefits ended 3 months ago, and despite trying other avenues to earn income, nothing has been enough to keep up with their living expenses.

Today, Emily is 3 months behind on rent, with utilities, phone service, and other bills piling up. Recently, her car was repossessed, cutting off her ability to get to job interviews, local food banks, or even the animal shelter to get food for their pets. Without a vehicle, even basic necessities feel out of reach.",669.0,4000.0,50.0,https://images.gofundme.com/p5W3X0axt9dK3LzBVe6fo5W9L5U=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93622365_1755116739876325_r.png,https://www.gofundme.com/f/emily-and-her-young-son-need-urgent-support?qid=3e05da99384bba523046eac5ff850c53,"Sleeve, Happiness, Smile, Fun, People in nature, Leisure, Recreation, Spring, Child, Vacation",0
Help Save Hannah's Pup Oliver,"Hannah, our friend and staff liaison at Lowndes County animal shelter, does so much for the animals in our community and working with the Humane Society to save as many as we can. She gives so much, and now we have an opportunity to give back and show her how much we love and support her . Her sweet pup Oliver went into renal failure, and needs emergency intervention if he is to survive. Please help donate to cover the cost of hospitalization and treatment at Capital Veterinary Specialists. Minimum cost would be $1,500-$2,000. Let’s see what we can do to help Hannah and her furbaby ❤️",1615.0,2000.0,9.0,https://images.gofundme.com/yOu9jQWNr9XMSfcbJ5dgCWJdjG0=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94915045_1758634065599665_r.png,https://www.gofundme.com/f/help-save-hannahs-pup-oliver?qid=b7bb97e73049109cac4a80eaef1ddecc,"Dog, Carnivores, Snout, Retriever, Whiskers, Working animal, Fur, Gun dog, Canidae, Golden Retriever",1
Save Periwinkle: Urgent Medical Help Needed,"Hello friends and family!! Thank you for your generosity. Here's what's happened: Periwinkle is my indoor only, tuxedo cat around 2 and half years old. I love her dearly. I adopted her from the Oakland Animal Shelter. This past weekend she has been very lethargic, and had a low appetite. On 8/11/2025 Periwinkle had no interest in eating at all, so I took her into the OakVet Animal Specialty Hospital as an emergency, and additionally set up an appointment at the soonest available time with Periwinkle's regular doctor at The Cheshire Cat Clinic. The initial check up showed she had a 103.8 high fever, was dehydrated, loss of fat and muscle, and was breathing hard and fast. The visiting Vet (DVM) suggested a General blood test, Chest x-ray, and Ultrasound of abdomen cavity. The blood test revealed a high white blood cell count indicative of infection and the x-ray revealed both of Periwinkle's lungs seemed to be consolidated. The DVM attempted to collect and sample any fluid outside of the lung but was not able to collect any fluid, because very little fluid was present at the time, leading for the DVM to believe Periwinkle was suffering from pneumonia. I was allowed to take Periwinkle home with instructions to administer antibiotics and monitor for signs of improvement (normal breathing rate). Periwinkle was still not interested in eating and very resistant to any syringe feeding. With much effort I was able to syringe her some meat flavored baby food and syringe the antibiotics, though this was very difficult. At home, Periwinkle was very clearly breathing hard, and struggling to be comfortable, though her breathing rate stayed the same and she was mobile and still very spunky. On 08/12/2025, at midnight I decided bring Periwinkle back into the OakVet Hospital to be hospitalized.",668.0,4500.0,51.0,https://images.gofundme.com/p-aFfvycYThgTaPY9j2FVnJukiY=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93602035_1755054360587561_r.png,https://www.gofundme.com/f/save-periwinkle-urgent-medical-help-needed?qid=44fddf1546ad54ab55343e8b2894382c,"Cat, Felidae, Felinae, Carnivores, Whiskers, Snout, Pet Supply, Fur, Domestic short-haired cat, Mesh",0
Donate to Aid Local Animal Shelters,"Hello everyone, so this year my friends and I thought we would raise money for local animal shelters.

With the cold winter months coming, we are raising money to help buy animal food, blankets, fans, heat lamps, and anything else they may need.

We do thank you for taking the time to read this, and we hope you have a great day.",,,297.0,https://images.gofundme.com/9bOnrkczxGecM1sdJeGplIMxV18=/1200x900/https://d2g8igdw686xgo.cloudfront.net/84695625_173379881344301_r.jpeg,https://www.gofundme.com/f/donate-to-aid-local-animal-shelters?qid=211fa9539295554b7e876e9689efa583,"Dog, Animal shelter, Cage, Kennel, Pet Supply, Carnivores, Dog crate, Dog Supply, Snout, Working animal",0
